"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"24",2.11,1.92252386002121,1.87,1.88748487490423,1.91,1.955,2,1.995,1.99,1.99,1.99,1.984,1.978,1.97711691719673,1.978,1.98099005271232,1.9866,1.99289891332045,1.9952,1.97493381773373,1.92,1.92
"28",2.1,2.1,2.1,2.07189834926151,2.06,2.086693863675,2.12,2.16,2.2,2.17,2.14,2.1485,2.157,2.1579114752164,2.157,2.14410903322856,2.12455,2.1064744822891,2.0921,2.08050870189898,2.07,2.07
"3",1.94,1.91067783701447,1.9,1.9218351015182,1.95,1.985,2.02,2.05190689907108,2.08,2.005,1.93,2.0345,2.139,2.1395883192359,2.139,2.13670794547359,2.1324,2.12745775776499,2.1258,2.13089493841607,2.14,2.14
"12",2.07,2.09621951219512,2.11,2.07,2.03,2.065,2.1,2.11712418300654,2.13,2.08,2.03,2.059,2.088,2.088,2.088,2.08888684017671,2.09039927035969,2.0928141541515,2.0966,2.10480428584349,2.12,2.12
"25",1.83,1.90870997640715,1.93,1.915,1.9,1.93,1.96,1.99,2.02,2.015,2.01,2.0175,2.025,2.025,2.025,2.025164210782,2.02535137206006,2.02561660321938,2.0269,2.03561465087815,2.05,2.05
"34",2.03,2.09829640281801,2.13,2.14,2.15,2.165,2.18,2.17710517912629,2.17,2.155,2.14,2.206,2.272,2.27258300791361,2.272,2.27100370268358,2.2694647190683,2.2668985977238,2.262,2.23047354385642,2.15,2.15
"2",1.98,2.015,2.05,2.085,2.12,2.05,1.98,2.04,2.1,2.095,2.09,2.149,2.208,2.208,2.208,2.23360777112217,2.2895,2.34843238625594,2.371,2.34167655202694,2.28,2.28
"15",2.01,2.10472779190183,2.14,2.14,2.14,2.18,2.22,2.23924064113298,2.25,2.24,2.23,2.2965,2.363,2.363,2.363,2.37390904301864,2.39495,2.41745367607757,2.4269,2.4179888548381,2.4,2.4
"21",1.86,1.97548233162967,2.04,2.07210425496824,2.1,2.125,2.15,2.175,2.2,2.195,2.19,2.224,2.258,2.258,2.258,2.27718417964388,2.31425,2.35207556149172,2.3705,2.36842950072492,2.36,2.36
"29",2.1,2.22782112393377,2.27,2.265,2.26,2.27103786342123,2.29,2.345,2.4,2.405,2.41,2.4365,2.463,2.46325619275314,2.463,2.46245986830156,2.4614,2.45995492534032,2.4598,2.46777286034612,2.48,2.48
"7",1.89,1.86207433261013,1.85,1.90593785280361,1.97,2.04,2.11,2.13425127845317,2.15,2.155,2.16,2.227,2.294,2.294,2.294,2.30390648359308,2.31498402279549,2.32613199729173,2.3373,2.34856161953913,2.36,2.36
"16",1.98,1.99225352112676,2.01,2.04807100085543,2.1,2.185,2.27,2.26,2.25,2.24322903351129,2.24,2.3015,2.363,2.363,2.363,2.37480229756328,2.39575,2.41659116016603,2.4285,2.42978981345581,2.43,2.43
"19",1.89,2.0302619581452,2.07,2.05,2.03,2.125,2.22,2.22149213661216,2.22,2.215,2.21,2.20560190748131,2.202,2.20067679453661,2.202,2.21692852556494,2.24635,2.27689763193815,2.2907,2.25700846064296,2.16,2.16
"36",2.11,2.08023069610997,2.07,2.09092425401086,2.12,2.28,2.44,2.43166097552556,2.42,2.33,2.24,2.2845,2.329,2.329,2.329,2.33462248022402,2.34535,2.35752490134932,2.3617,2.347918882723,2.32,2.32
"4",1.96,2.02959980424189,2.09,2.14292546024818,2.19,2.23289379396104,2.27,2.29925883086375,2.32,2.305,2.29,2.3095,2.329,2.329,2.329,2.33817642581709,2.3551,2.37273410098682,2.3812,2.33819568913089,2.21,2.21
"14",2.16,2.16759459753357,2.18,2.21721066369403,2.27,2.38,2.49,2.43,2.37,2.3830402282292,2.4,2.4205,2.441,2.441,2.441,2.46458677679183,2.5117,2.55891012440128,2.5824,2.53109609846439,2.37,2.37
"26",1.83,1.94014121913418,2.01,2.05,2.09,2.175,2.26,2.26234111232588,2.26,2.25,2.24,2.251,2.262,2.26202487208504,2.262,2.26197493197279,2.26194959214716,2.26192317833554,2.2617,2.23263882281688,2.17,2.17
"32",2.02,2.15477896080613,2.23,2.265,2.3,2.37,2.44,2.38,2.32,2.35152879004527,2.4,2.503,2.606,2.60923232990039,2.606,2.57785364488324,2.5199,2.45954783452321,2.4338,2.44641335313256,2.47,2.47
"8",1.9,2.02140407308979,2.06,2.04,2.02,2.115,2.21,2.2119748237646,2.21,2.205,2.2,2.3305,2.461,2.461,2.461,2.48239335666727,2.52285,2.56432388528328,2.5847,2.58162947599654,2.57,2.57
"11",1.93,2.06225671563784,2.1,2.065,2.03,2.12,2.21,2.23598222560032,2.25,2.24,2.23,2.3745,2.519,2.519,2.519,2.52614287900231,2.5392,2.55334732299664,2.5594,2.55298401073146,2.54,2.54
"22",1.89,2.02329597134009,2.08,2.085,2.09,2.235,2.38,2.41326262994063,2.43,2.38,2.33,2.451,2.572,2.572,2.572,2.6028408638749,2.66515,2.73191153356939,2.7583,2.71066128699588,2.6,2.6
"30",2.15,2.25679469486538,2.29,2.26,2.23,2.4,2.57,2.575,2.58,2.61,2.64,2.66272073853374,2.679,2.679,2.679,2.7120993220303,2.78045,2.8524206372357,2.8819,2.860218126988,2.82,2.82
"5",1.94,1.92096751116264,1.9,1.875,1.85,1.88,1.91,1.88950714647164,1.86,1.805,1.75,1.8125,1.875,1.875,1.875,1.87667383563389,1.87985,1.88358716344792,1.8847,1.87944527824104,1.87,1.87
"10",2.12,1.96892552158334,1.89,1.84862640350162,1.82,1.82271950564213,1.83,1.845,1.86,1.835,1.81,1.896,1.982,1.982,1.982,1.99850583555276,2.03135,2.06432285095288,2.0807,2.0442108644707,1.93,1.93
"27",2.03,2.03,2.03,1.98602150537634,1.97,2.005,2.04,2.02,2,2,2,1.9655,1.931,1.9299057857978,1.931,1.94232829865803,1.9638,1.98469955965126,1.9966,1.96497091749488,1.86,1.86
"35",2.08,2.08,2.08,2.04061272850372,2.03,2.0434022357136,2.06,2.08,2.1,2.05,2,2.0285,2.057,2.057,2.057,2.05777321432639,2.05925,2.06103717278514,2.0615,2.05260762723725,2.03,2.03
