"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"C",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"C",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"D",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"D",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"D",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"D",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"E",1.33,1.32952380952381,1.32904761904762,1.32857142857143,1.32809523809524,1.32761904761905,1.32714285714286,1.32666666666667,1.32619047619048,1.32571428571429,1.3252380952381,1.3247619047619,1.32428571428571,1.32380952380952,1.32333333333333,1.32285714285714,1.32238095238095,1.32190476190476,1.32142857142857,1.32095238095238,1.32047619047619,1.32
"E",1.33,1.32952380952381,1.32904761904762,1.32857142857143,1.32809523809524,1.32761904761905,1.32714285714286,1.32666666666667,1.32619047619048,1.32571428571429,1.3252380952381,1.3247619047619,1.32428571428571,1.32380952380952,1.32333333333333,1.32285714285714,1.32238095238095,1.32190476190476,1.32142857142857,1.32095238095238,1.32047619047619,1.32
"E",1.33,1.32952380952381,1.32904761904762,1.32857142857143,1.32809523809524,1.32761904761905,1.32714285714286,1.32666666666667,1.32619047619048,1.32571428571429,1.3252380952381,1.3247619047619,1.32428571428571,1.32380952380952,1.32333333333333,1.32285714285714,1.32238095238095,1.32190476190476,1.32142857142857,1.32095238095238,1.32047619047619,1.32
"E",1.33,1.32952380952381,1.32904761904762,1.32857142857143,1.32809523809524,1.32761904761905,1.32714285714286,1.32666666666667,1.32619047619048,1.32571428571429,1.3252380952381,1.3247619047619,1.32428571428571,1.32380952380952,1.32333333333333,1.32285714285714,1.32238095238095,1.32190476190476,1.32142857142857,1.32095238095238,1.32047619047619,1.32
"F",1.33,1.32857142857143,1.32714285714286,1.32571428571429,1.32428571428571,1.32285714285714,1.32142857142857,1.32,1.31857142857143,1.31714285714286,1.31571428571429,1.31428571428571,1.31285714285714,1.31142857142857,1.31,1.30857142857143,1.30714285714286,1.30571428571429,1.30428571428571,1.30285714285714,1.30142857142857,1.3
"F",1.33,1.32857142857143,1.32714285714286,1.32571428571429,1.32428571428571,1.32285714285714,1.32142857142857,1.32,1.31857142857143,1.31714285714286,1.31571428571429,1.31428571428571,1.31285714285714,1.31142857142857,1.31,1.30857142857143,1.30714285714286,1.30571428571429,1.30428571428571,1.30285714285714,1.30142857142857,1.3
"F",1.33,1.32857142857143,1.32714285714286,1.32571428571429,1.32428571428571,1.32285714285714,1.32142857142857,1.32,1.31857142857143,1.31714285714286,1.31571428571429,1.31428571428571,1.31285714285714,1.31142857142857,1.31,1.30857142857143,1.30714285714286,1.30571428571429,1.30428571428571,1.30285714285714,1.30142857142857,1.3
"F",1.33,1.32857142857143,1.32714285714286,1.32571428571429,1.32428571428571,1.32285714285714,1.32142857142857,1.32,1.31857142857143,1.31714285714286,1.31571428571429,1.31428571428571,1.31285714285714,1.31142857142857,1.31,1.30857142857143,1.30714285714286,1.30571428571429,1.30428571428571,1.30285714285714,1.30142857142857,1.3
"G",1.33,1.32714285714286,1.32428571428571,1.32142857142857,1.31857142857143,1.31571428571429,1.31285714285714,1.31,1.30714285714286,1.30428571428571,1.30142857142857,1.29857142857143,1.29571428571429,1.29285714285714,1.29,1.28714285714286,1.28428571428571,1.28142857142857,1.27857142857143,1.27571428571429,1.27285714285714,1.27
"G",1.33,1.32714285714286,1.32428571428571,1.32142857142857,1.31857142857143,1.31571428571429,1.31285714285714,1.31,1.30714285714286,1.30428571428571,1.30142857142857,1.29857142857143,1.29571428571429,1.29285714285714,1.29,1.28714285714286,1.28428571428571,1.28142857142857,1.27857142857143,1.27571428571429,1.27285714285714,1.27
"G",1.33,1.32714285714286,1.32428571428571,1.32142857142857,1.31857142857143,1.31571428571429,1.31285714285714,1.31,1.30714285714286,1.30428571428571,1.30142857142857,1.29857142857143,1.29571428571429,1.29285714285714,1.29,1.28714285714286,1.28428571428571,1.28142857142857,1.27857142857143,1.27571428571429,1.27285714285714,1.27
"G",1.33,1.32714285714286,1.32428571428571,1.32142857142857,1.31857142857143,1.31571428571429,1.31285714285714,1.31,1.30714285714286,1.30428571428571,1.30142857142857,1.29857142857143,1.29571428571429,1.29285714285714,1.29,1.28714285714286,1.28428571428571,1.28142857142857,1.27857142857143,1.27571428571429,1.27285714285714,1.27
"H",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"H",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"H",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"H",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"I",1.33,1.33238095238095,1.3347619047619,1.33714285714286,1.33952380952381,1.34190476190476,1.34428571428571,1.34666666666667,1.34904761904762,1.35142857142857,1.35380952380952,1.35619047619048,1.35857142857143,1.36095238095238,1.36333333333333,1.36571428571429,1.36809523809524,1.37047619047619,1.37285714285714,1.3752380952381,1.37761904761905,1.38
"I",1.33,1.33238095238095,1.3347619047619,1.33714285714286,1.33952380952381,1.34190476190476,1.34428571428571,1.34666666666667,1.34904761904762,1.35142857142857,1.35380952380952,1.35619047619048,1.35857142857143,1.36095238095238,1.36333333333333,1.36571428571429,1.36809523809524,1.37047619047619,1.37285714285714,1.3752380952381,1.37761904761905,1.38
"I",1.33,1.33238095238095,1.3347619047619,1.33714285714286,1.33952380952381,1.34190476190476,1.34428571428571,1.34666666666667,1.34904761904762,1.35142857142857,1.35380952380952,1.35619047619048,1.35857142857143,1.36095238095238,1.36333333333333,1.36571428571429,1.36809523809524,1.37047619047619,1.37285714285714,1.3752380952381,1.37761904761905,1.38
"I",1.33,1.33238095238095,1.3347619047619,1.33714285714286,1.33952380952381,1.34190476190476,1.34428571428571,1.34666666666667,1.34904761904762,1.35142857142857,1.35380952380952,1.35619047619048,1.35857142857143,1.36095238095238,1.36333333333333,1.36571428571429,1.36809523809524,1.37047619047619,1.37285714285714,1.3752380952381,1.37761904761905,1.38
